Plot;Site;Tree species;Age;BA_m2_ha;N_trees_ha;Dg_mm;Hg_m;V_m3_ha;SDB_Mg_ha;BDB_Mg_ha;LDB_Mg_ha;ADB_Mg_ha
1;Bs;SP;83;29.04;1163;178;14.76;211.562663;103.6661487;10.19465258;6.673750159;120.5345514
2;Bs;SP;48;25.38;2622;111;10.66;142.7313875;74.03648393;7.505156733;7.320640404;88.86228107
3;Bs;SP;39;28.69;3628;100;10.38;157.6945291;82.89925941;8.490327652;9.184723604;100.5743107
4;Bs;SP;93;29.19;1045;176;13.63;198.8428902;97.80338888;9.630327369;6.435535517;113.8692518
5;Bs;SP;53;25.68;1147;169;13.91;177.1180306;87.25689743;8.601939143;5.856403644;101.7152402
6;Bs;SP;26;17.43;2549;93;8.49;83.84473833;45.94263996;4.772716754;5.85754325;56.57289997
7;BMsw;SP;93;35.06;603;272;22.99;370.6298319;177.4687091;17.27860486;9.444974073;204.192288
8;Bsw;SP;26;31.18;3333;109;11.35;184.5764356;95.13662295;9.639608744;9.355853016;114.1320847
9;Bsw;SP;106;28.88;687;231;17.37;238.9891408;115.3862236;11.27107868;6.561240846;133.2185431
10;BMsw;SP;34;31.59;2765;121;13.74;216.7396775;109.6740592;10.97765619;9.248885522;129.9006009
11;BMsw;SP;23;37.26;5109;96;11.4;221.6441609;123.0420595;12.56703308;13.23811652;148.8472091
12;BMsw;SP;45;25.68;2180;122;13.57;174.1908917;89.27349038;8.926825837;7.427524602;105.6278408
13;Bsw;SP;70;27.74;917;196;19.04;250.2147755;107.3486029;10.52074667;6.500392173;124.3697417
14;Bsw;SP;85;32.25;850;220;19.96;283.8656972;127.6118655;12.47663879;7.385598349;147.4741026
15;BMsw;SP;100;31.11;535;272;21.52;309.1506031;128.0329527;12.47806152;6.957363991;147.4683782
16;Bsw;SP;34;38.18;3443;119;14.11;269.4779731;132.0273425;13.22936571;11.29669775;156.5534059
17;Bsw;SP;60;28.03;1313;165;17.11;229.3585378;97.57991245;9.623483531;6.593471294;113.7968673
18;BMsw;SP;75;25.28;736;209;18.02;224.2342338;94.83946735;9.285535124;5.63760226;109.7626047
