Plot;Tree;Site;Age_class;DBH_mm;H_m;SDB_kg;BDB_kg;LDB_kg;ADB_kg
1;1;Bs;>80;156;14.54;63.1899398;2.891914267;2.59191508;68.67376915
1;2;Bs;>80;148;14.15;61.39877412;3.503592034;3.424696459;68.32706261
1;3;Bs;>80;167;15.4;94.76756054;5.151500069;3.892551167;103.8116118
1;4;Bs;>80;181;15.24;102.9110352;11.57667935;7.223676685;121.7113912
1;5;Bs;>80;225;17.96;167.1683327;19.54050656;9.160595174;195.8694344
2;1;Bs;41-80;69;9.45;10.42780872;0.66848002;0.557836707;11.65412545
2;2;Bs;41-80;97;12.1;23.77945129;2.354948308;1.304618106;27.4390177
2;3;Bs;41-80;102;12.05;30.38445802;2.511831702;1.799473249;34.69576297
2;4;Bs;41-80;116;13.05;44.04675854;5.899749207;4.633643617;54.58015136
2;5;Bs;41-80;141;14.25;59.96864287;6.730575209;4.174777938;70.87399601
3;1;Bs;0-40;78;9.75;14.18073243;0.788743087;0.623013221;15.59248874
3;2;Bs;0-40;83;10;15.89637955;1.613864933;1.362841422;18.8730859
3;3;Bs;0-40;93;10.65;20.37545787;2.263074664;1.96638548;24.60491801
3;4;Bs;0-40;100;10.93;26.24217091;2.887207483;2.852232404;31.9816108
3;5;Bs;0-40;113;11.45;31.70264089;3.185072302;2.530991212;37.4187044
4;1;Bs;>80;150;13.4;67.19729502;7.467102309;5.01424386;79.6786412
4;2;Bs;>80;165;14.73;95.93445197;7.81667887;6.581803591;110.3329344
4;3;Bs;>80;155;14.08;72.11317121;9.063023393;5.06292584;86.23912045
4;4;Bs;>80;182;15.4;104.1153431;8.91742064;5.170026194;118.2027899
4;5;Bs;>80;212;15.9;144.9004096;11.54352583;8.81143824;165.2553736
5;1;Bs;41-80;134;13.3;45.92387614;4.389618533;2.653942746;52.96743742
5;2;Bs;41-80;168;15.65;77.84322998;6.330529312;3.707714131;87.88147342
5;3;Bs;41-80;157;15.1;77.59846342;8.770292351;8.820456774;95.18921254
5;4;Bs;41-80;194;14.7;83.06431945;10.26609638;4.34192839;97.67234421
5;5;Bs;41-80;193;16.95;118.1544484;6.203842462;6.156756885;130.5150477
6;1;Bs;0-40;69;7.6;9.426030089;1.294129495;0.85569971;11.57585929
6;2;Bs;0-40;80;6.95;10.14874415;1.770473641;1.44166799;13.36088579
6;3;Bs;0-40;86;9.02;14.92965995;3.150926032;2.706615387;20.78720137
6;4;Bs;0-40;107;11.1;25.96084277;5.323204529;4.287799633;35.57184693
6;5;Bs;0-40;120;9.65;29.85387976;11.12603574;6.789791177;47.76970668
7;1;BMsw;>80;215;19.8;187.3218797;12.60055641;5.754497459;205.6769335
7;2;BMsw;>80;235;21.93;234.6796386;15.92110933;9.429056077;260.029804
7;3;BMsw;>80;278;23.4;298.8850126;22.60189518;12.70801848;334.1949263
7;4;BMsw;>80;281;22.88;356.6076937;29.82304747;18.2708353;404.7015764
7;5;BMsw;>80;305;25.65;452.0915374;32.12988647;16.06854712;500.2899709
8;1;Bsw;0-40;80;10;12.06540616;1.182860053;0.517406956;13.76567317
8;2;Bsw;0-40;94;11.7;23.35388458;2.837257677;3.225170027;29.41631228
8;3;Bsw;0-40;127;12.52;43.0326374;4.81624015;5.928621373;53.77749893
8;4;Bsw;0-40;114;13.38;37.35164785;2.732118665;4.053021157;44.13678768
8;5;Bsw;0-40;143;11.68;50.00991882;11.40056618;8.028431271;69.43891627
9;1;Bsw;>80;194;18.15;128.9541942;11.02003868;6.344002432;146.3182352
9;2;Bsw;>80;190;18.95;131.3185446;8.093816805;5.286668693;144.6990301
9;3;Bsw;>80;221;18.6;185.7342127;19.16369786;10.47220112;215.3701117
9;4;Bsw;>80;220;19.73;194.5538781;13.52747025;8.458669909;216.5400182
9;5;Bsw;>80;265;20.35;306.5945087;55.40565637;27.75730919;389.7574742
10;1;BMsw;0-40;94;13.6;28.67880771;2.016684221;1.791060155;32.48655208
10;2;BMsw;0-40;100;13.95;20.82812379;1.484922746;1.359879007;23.67292554
10;3;BMsw;0-40;125;14.95;43.80229018;2.205759801;2.255409084;48.26345906
10;4;BMsw;0-40;119;15.8;43.52976049;1.309187488;3.05143582;47.8903838
10;5;BMsw;0-40;135;15.95;62.53565334;5.142160737;6.210666927;73.88848101
11;1;BMsw;0-40;67;10.6;8.287996089;0.888184838;0.526064508;9.702245436
11;2;BMsw;0-40;85;12.5;18.24231408;2.593988343;1.499676435;22.33597885
11;3;BMsw;0-40;107;12.65;30.23830437;4.059097811;3.274162687;37.57156487
11;4;BMsw;0-40;95;12.3;21.85448643;2.590003075;2.002185816;26.44667532
11;5;BMsw;0-40;107;12.7;34.0248953;4.190395161;3.399790032;41.61508049
12;1;BMsw;41-80;78;12.65;19.23895678;0.873198286;0.886255226;20.99841029
12;2;BMsw;41-80;101;13.8;34.39713555;1.974426755;2.017813237;38.38937554
12;3;BMsw;41-80;102;13.6;31.52892745;1.51505314;2.183986091;35.22796668
12;4;BMsw;41-80;120;13.15;40.28088143;4.013144612;2.785373566;47.0793996
12;5;BMsw;41-80;131;14.07;49.00867914;3.140699439;3.323457096;55.47283568
13;1;Bsw;41-80;147;16.82;87.25732411;4.509634462;5.365773931;97.1327325
13;2;Bsw;41-80;177;16.5;104.8160328;7.104226111;5.239816796;117.1600756
13;3;Bsw;41-80;205;18.86;151.9936378;7.328498566;7.29711666;166.619253
13;4;Bsw;41-80;195;19.3;135.1061121;9.290982678;8.187213744;152.5843085
13;5;Bsw;41-80;182;18.35;122.6663538;5.433089461;4.971108242;133.0705515
14;1;Bsw;>80;157;18.76;94.28467725;4.489575678;3.067461566;101.8417145
14;2;Bsw;>80;189;20.81;152.4935412;5.63631503;5.510883673;163.6407398
14;3;Bsw;>80;193;18.65;131.6714036;4.239850397;4.23643689;140.1476909
14;4;Bsw;>80;226;20.35;192.9295684;12.32928666;8.9035489;214.1624039
14;5;Bsw;>80;251;21.2;240.7820446;16.85083443;12.51594633;270.1488253
15;1;BMsw;>80;194;20.85;154.7358613;7.590345786;5.83534643;168.1615536
15;2;BMsw;>80;222;21.02;218.0805205;17.46454829;12.80266232;248.347731
15;3;BMsw;>80;255;21.35;289.4096827;26.48845301;13.9083069;329.8064426
15;4;BMsw;>80;280;22.55;371.701122;35.37265726;17.59378886;424.6675681
15;5;BMsw;>80;315;24.32;407.8414349;36.97564684;16.68996828;461.50705
16;1;Bsw;0-40;84;13.82;18.87591203;0.987863082;0.629751842;20.49352695
16;2;Bsw;0-40;102;11.8;27.40654428;3.232927818;2.728924649;33.36839674
16;3;Bsw;0-40;120;15.7;48.35374202;3.114114858;4.391469511;55.85932639
16;4;Bsw;0-40;115;14.83;37.40486484;2.988158535;3.83728789;44.23031126
16;5;Bsw;0-40;134;14.22;48.96046314;5.654678887;3.660957375;58.2760994
17;1;Bsw;41-80;140;16.1;71.89990225;3.494002635;4.722142864;80.11604775
17;2;Bsw;41-80;143;16.5;66.41100555;2.872856746;3.095037458;72.37889975
17;3;Bsw;41-80;164;18.1;101.7795518;7.891288431;5.889414134;115.5602544
17;4;Bsw;41-80;176;17.98;116.5634867;12.62949134;9.780318367;138.9732964
17;5;Bsw;41-80;213;17.93;171.7281324;31.84689116;15.12146872;218.6964923
18;1;BMsw;41-80;156;15.9;78.95138596;6.225253017;4.300314512;89.47695349
18;2;BMsw;41-80;185;14.49;84.12033737;9.707310896;5.848427737;99.676076
18;3;BMsw;41-80;194;16.78;129.8314;18.11987008;6.923506365;154.8747764
18;4;BMsw;41-80;216;18;162.07602;18.03250216;7.370739074;187.4792613
18;5;BMsw;41-80;264;18.8;193.6983949;20.00640713;14.19103789;227.8958398
